# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	44500
#@/user_id	win_home_mypc
bfi 	际	c=8 d=1.71725 t=44500
bg 	卫	c=1 d=0.110803 t=44500
bgk 	隔	c=2 d=0.143123 t=44500
bgnk 	隔壁	c=6 d=0.736213 t=44500
bgsm 	耳机	c=1 d=8.06104e-24 t=44500
bgtg 	卫生	c=1 d=0.0432828 t=44500
bgyb 	隔离	c=3 d=0.283654 t=44500
biov 	函数	c=7 d=2.20618 t=44500
bip 	逊	c=1 d=0.0437178 t=44500
bj 	阳	c=1 d=0.0211736 t=44500
bjck 	阳台	c=1 d=0.0314298 t=44500
bk 	职	c=1 d=0.186374 t=44500
bkgm 	职责	c=1 d=0.105928 t=44500
bkog 	职业	c=1 d=0.010358 t=44500
bksc 	职权	c=1 d=0.904837 t=44500
bktl 	职务	c=2 d=0.211191 t=44500
bl 	阵	c=1 d=0.12307 t=44500
blap 	阵营	c=2 d=0.0216216 t=44500
bm 	出	c=72 d=2.6553 t=44500
bmgm 	出现	c=7 d=0.683785 t=44500
bmgo 	出来	c=17 d=1.81826 t=44500
bmuy 	出门	c=2 d=0.143206 t=44500
bn 	也	c=182 d=2.74562 t=44500
bnyt 	也许	c=1 d=0.0792617 t=44500
bpfq 	院	c=1 d=0.479505 t=44500
bq 	隐	c=1 d=1.78234e-05 t=44500
bqad 	隐藏	c=4 d=1.36723 t=44500
bqgd 	聊天	c=1 d=0.634448 t=44500
bqkk 	隐患	c=2 d=0.637628 t=44500
bqt 	聊	c=6 d=0.701253 t=44500
bsk 	阿	c=8 d=5.24346 t=44500
bt 	降	c=9 d=1.13722 t=44500
btwq 	降低	c=4 d=0.860897 t=44500
buje 	联盟	c=1 d=0.00119453 t=44500
bush 	联想	c=1 d=0.126186 t=44500
butx 	联系	c=2 d=0.222384 t=44500
bv 	限	c=1 d=1.31743e-08 t=44500
bve 	限	c=7 d=0.630306 t=44500
bvpg 	限定	c=4 d=0.194952 t=44500
bw 	队	c=19 d=0.932535 t=44500
bwdc 	队友	c=2 d=1.63779 t=44500
bwdj 	除非	c=2 d=0.80713 t=44500
bwgi 	险	c=9 d=5.93458e-11 t=44500
bwgq 	队列	c=3 d=1.0044 t=44500
bwlk 	附加	c=6 d=1.21835 t=44500
bwrp 	附近	c=2 d=0.119289 t=44500
bwt 	除	c=18 d=1.21129 t=44500
bwwg 	队伍	c=2 d=1.29455 t=44500
by 	防	c=2 d=0.626406 t=44500
bybb 	孩子	c=1 d=0.0119742 t=44500
byhh 	防止	c=10 d=1.18298 t=44500
byoo 	防火	c=3 d=0.465817 t=44500
bytr 	防御	c=1 d=0.000614317 t=44500
c 	以	c=4 d=1.99501 t=44500
cafc 	驱动	c=6 d=0.425283 t=44500
cal 	劲	c=3 d=0.105928 t=44500
cbad 	预期	c=1 d=0.205975 t=44500
cbtf 	预先	c=1 d=0.162026 t=44500
cbwd 	预估	c=2 d=0.585699 t=44500
cbxq 	预约	c=1 d=0.0769192 t=44500
cbyf 	预计	c=1 d=0.0605068 t=44500
cbym 	预设	c=10 d=0.939373 t=44500
cbyy 	预言	c=1 d=0.257947 t=44500
cc 	双	c=8 d=0.95731 t=44500
ccc 	又	c=14 d=1.5256 t=44500
cccc 	又	c=10 d=0.49659 t=44500
cclk 	叠加	c=2 d=0.308819 t=44500
ccyj 	骚	c=1 d=1 t=44500
ccyt 	叠放	c=1 d=8.99071e-14 t=44500
ccyy 	双方	c=1 d=0.0968105 t=44500
cd 	参	c=1 d=0.263158 t=44500
cde 	参	c=1 d=5.65026e-20 t=44500
cdft 	参考	c=3 d=1.53427 t=44500
cdgn 	参与	c=1 d=0.0731678 t=44500
cdov 	参数	c=10 d=1.24161 t=44500
ce 	能	c=152 d=3.77448 t=44500
ceet 	通用	c=3 d=0.148697 t=44500
cefp 	通过	c=1 d=0.109154 t=44500
ceg 	驵	c=1 d=0.0170774 t=44500
celt 	能力	c=1 d=0.67032 t=44500
cep 	通	c=76 d=3.05528 t=44500
ceqk 	能够	c=1 d=9.63932e-10 t=44500
cf 	对	c=143 d=3.94816 t=44500
cfdm 	对面	c=2 d=0.553841 t=44500
cff 	圣	c=2 d=0.00240549 t=44500
cfgf 	对于	c=1 d=0.000273284 t=44500
cfkk 	对口	c=1 d=0.0528657 t=44500
cfqh 	对外	c=2 d=0.0376634 t=44500
cfqj 	对象	c=14 d=0.973849 t=44500
cfru 	对接	c=5 d=0.107712 t=44500
cfuw 	对准	c=1 d=0.298197 t=44500
cfxx 	对比	c=7 d=2.15102 t=44500
cfyi 	对应	c=16 d=0.734584 t=44500
cfyj 	对齐	c=3 d=0.807632 t=44500
cfyt 	对话	c=2 d=0.139457 t=44500
cfyy 	对方	c=3 d=0.137825 t=44500
ck 	台	c=9 d=1.35405 t=44500
ckaa 	台式	c=3 d=0.356345 t=44500
ckq 	驶	c=1 d=0.138761 t=44500
cmpw 	观察	c=1 d=5.92462e-19 t=44500
cn 	马	c=4 d=0.965605 t=44500
cpmt 	驼峰	c=1 d=0.151829 t=44500
cpx 	驼	c=1 d=0.0871609 t=44500
cqnh 	鸡蛋	c=2 d=0.311923 t=44500
cqyt 	允许	c=3 d=1.36303 t=44500
cs 	骠	c=1 d=0.900325 t=44500
cu 	骈	c=1 d=0.0086517 t=44500
cwep 	难受	c=2 d=0.514274 t=44500
cwnh 	验收	c=2 d=0.0488012 t=44500
cwut 	难道	c=1 d=0.165299 t=44500
cwy 	难	c=10 d=0.452658 t=44500
cwyg 	验证	c=5 d=1.88899 t=44500
d 	在	c=394 d=18.3197 t=44500
da 	左	c=33 d=2.12218 t=44500
dc 	友	c=1 d=0.110251 t=44500
dcg 	码	c=6 d=1.42296 t=44500
dcov 	码数	c=1 d=0.0356146 t=44500
dcud 	友善	c=1 d=2.14083e-14 t=44500
dcud 	码头	c=2 d=6.96394e-14 t=44500
dd 	大	c=114 d=3.26853 t=44500
ddd 	磊	c=1 d=0.00256704 t=44500
ddih 	大小	c=3 d=1.2467 t=44500
ddoo 	大火	c=2 d=0.22091 t=44500
ddpd 	厉害	c=5 d=0.67336 t=44500
ddpe 	大家	c=12 d=1.69311 t=44500
ddsv 	大概	c=11 d=1.31966 t=44500
ddtf 	大街	c=1 d=0.66365 t=44500
ddu 	套	c=7 d=0.514289 t=44500
dduy 	大门	c=4 d=0.799174 t=44500
ddve 	大姐	c=2 d=0.739456 t=44500
ddwf 	大佬	c=1 d=0.00918669 t=44500
ddws 	大体	c=1 d=0.149569 t=44500
ddwt 	大作	c=1 d=0.00527382 t=44500
detd 	胡乱	c=1 d=0.818731 t=44500
df 	夺	c=2 d=4.75933e-23 t=44500
dfn 	夸	c=2 d=1.95717e-10 t=44500
dfxp 	压缩	c=7 d=0.923116 t=44500
dfxt 	夸张	c=1 d=0.000466618 t=44500
