# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	56292
#@/user_id	win_work_gyyx
b 	了	c=1168 d=8.05052 t=56292
bai 	陈	c=1 d=0.398519 t=56292
bb 	子	c=55 d=3.06951 t=56292
bbxu 	子弹	c=39 d=3.72427 t=56292
bc 	取	c=44 d=1.15576 t=56292
bcii 	取消	c=2 d=1.11955e-05 t=56292
bcwf 	取值	c=5 d=0.57695 t=56292
bd 	承	c=1 d=0.22313 t=56292
bde 	随	c=11 d=2.20917 t=56292
bdep 	承受	c=5 d=0.519113 t=56292
bdep 	随	c=1 d=0.075774 t=56292
bdrg 	随后	c=1 d=8.81568e-18 t=56292
bdsm 	随机	c=27 d=2.04972 t=56292
bdtt 	随笔	c=7 d=4.74127 t=56292
bdud 	随着	c=1 d=0.172907 t=56292
bdwg 	随便	c=12 d=1.57766 t=56292
bdxx 	随缘	c=1 d=1.17299e-14 t=56292
bedj 	阻碍	c=1 d=1.51984e-13 t=56292
beg 	阴	c=1 d=3.16196e-14 t=56292
behh 	阻止	c=2 d=0.666977 t=56292
belt 	阻力	c=4 d=4.2874e-08 t=56292
bent 	阴性	c=1 d=0.715338 t=56292
beri 	阻挡	c=1 d=4.99584e-13 t=56292
bfi 	际	c=8 d=1.71725 t=56292
bfiy 	际	c=1 d=2.05793e-20 t=56292
bfm 	陆	c=1 d=0.0735345 t=56292
bfxf 	陆续	c=1 d=5.9677e-16 t=56292
bg 	卫	c=2 d=0.110803 t=56292
bgk 	隔	c=3 d=0.143123 t=56292
bgnk 	隔壁	c=6 d=0.736213 t=56292
bgsm 	耳机	c=1 d=8.06104e-24 t=56292
bgtg 	卫生	c=1 d=0.0432828 t=56292
bgyb 	隔离	c=3 d=0.283654 t=56292
biov 	函数	c=7 d=2.20618 t=56292
bip 	逊	c=1 d=0.0437178 t=56292
bj 	阳	c=1 d=0.0211736 t=56292
bjck 	阳台	c=1 d=0.0314298 t=56292
bk 	职	c=2 d=0.186374 t=56292
bkbg 	随叫随到	c=1 d=0.729789 t=56292
bkgm 	职责	c=1 d=0.105928 t=56292
bkog 	职业	c=1 d=0.010358 t=56292
bksc 	职权	c=1 d=0.904837 t=56292
bktl 	职务	c=2 d=0.211191 t=56292
bl 	阵	c=1 d=0.12307 t=56292
blap 	阵营	c=2 d=0.0216216 t=56292
bm 	出	c=95 d=2.6553 t=56292
bmgm 	出现	c=13 d=0.683785 t=56292
bmgo 	出来	c=21 d=1.81826 t=56292
bmkk 	出口	c=2 d=1.06612e-25 t=56292
bmuy 	出门	c=2 d=0.143206 t=56292
bn 	也	c=239 d=2.74562 t=56292
bnyt 	也许	c=1 d=0.0792617 t=56292
bpfq 	院	c=1 d=0.479505 t=56292
bq 	隐	c=1 d=1.78234e-05 t=56292
bqad 	隐藏	c=11 d=1.36723 t=56292
bqgd 	聊天	c=2 d=0.634448 t=56292
bqkk 	隐患	c=2 d=0.637628 t=56292
bqt 	聊	c=10 d=0.701253 t=56292
br 	孤	c=1 d=1.33802e-14 t=56292
bsk 	阿	c=8 d=5.24346 t=56292
bt 	降	c=10 d=1.13722 t=56292
btai 	降落	c=1 d=4.50171e-23 t=56292
btgk 	降速	c=6 d=1.24067e-07 t=56292
btwq 	降低	c=6 d=0.860897 t=56292
bud 	联	c=1 d=0.000300519 t=56292
budj 	障碍	c=2 d=2.86216e-10 t=56292
buje 	联盟	c=1 d=0.00119453 t=56292
bush 	联想	c=1 d=0.126186 t=56292
butx 	联系	c=3 d=0.222384 t=56292
bv 	限	c=1 d=1.31743e-08 t=56292
bve 	限	c=10 d=0.630306 t=56292
bvpg 	限定	c=4 d=0.194952 t=56292
bvrm 	限制	c=4 d=8.6995e-09 t=56292
bw 	队	c=21 d=0.932535 t=56292
bwdc 	队友	c=2 d=1.63779 t=56292
bwdj 	除非	c=2 d=0.80713 t=56292
bwg 	险	c=1 d=5.47098e-23 t=56292
bwgi 	险	c=10 d=5.93458e-11 t=56292
bwgk 	附带	c=1 d=0.0968105 t=56292
bwgq 	队列	c=3 d=1.0044 t=56292
bwlk 	附加	c=6 d=1.21835 t=56292
bwrp 	附近	c=2 d=0.119289 t=56292
bwt 	除	c=22 d=1.21129 t=56292
bwwd 	阶段	c=2 d=2.87491e-12 t=56292
bwwg 	队伍	c=2 d=1.29455 t=56292
by 	防	c=2 d=0.626406 t=56292
bybb 	孩子	c=2 d=0.0119742 t=56292
byhh 	防止	c=11 d=1.18298 t=56292
byoo 	防火	c=3 d=0.465817 t=56292
bytr 	防御	c=1 d=0.000614317 t=56292
c 	以	c=4 d=1.99501 t=56292
cadm 	颈	c=1 d=1.12417e-24 t=56292
cafc 	驱动	c=7 d=0.425283 t=56292
cal 	劲	c=3 d=0.105928 t=56292
casp 	颈枕	c=3 d=9.54805e-24 t=56292
cb 	邓	c=1 d=0.0211736 t=56292
cbad 	预期	c=1 d=0.205975 t=56292
cbq 	豫	c=2 d=6.60572e-05 t=56292
cbqy 	预留	c=1 d=0.00109719 t=56292
cbtf 	预先	c=1 d=0.162026 t=56292
cbwd 	预估	c=2 d=0.585699 t=56292
cbxq 	预约	c=1 d=0.0769192 t=56292
cbyf 	预计	c=1 d=0.0605068 t=56292
cbym 	预设	c=13 d=0.939373 t=56292
cbyy 	预言	c=1 d=0.257947 t=56292
cc 	双	c=12 d=0.95731 t=56292
ccc 	又	c=16 d=1.5256 t=56292
cccc 	又	c=15 d=0.782705 t=56292
cclk 	叠加	c=2 d=0.308819 t=56292
ccyj 	骚	c=1 d=1 t=56292
ccyt 	叠放	c=1 d=8.99071e-14 t=56292
ccyy 	双方	c=1 d=0.0968105 t=56292
cd 	参	c=2 d=0.263158 t=56292
cde 	参	c=1 d=5.65026e-20 t=56292
cdft 	参考	c=3 d=1.53427 t=56292
cdgn 	参与	c=1 d=0.0731678 t=56292
cdov 	参数	c=21 d=1.24161 t=56292
ce 	能	c=215 d=3.77448 t=56292
ceet 	通用	c=3 d=0.148697 t=56292
cefp 	通过	c=1 d=0.109154 t=56292
ceg 	驵	c=1 d=0.0170774 t=56292
celt 	能力	c=1 d=0.67032 t=56292
cep 	通	c=87 d=3.05528 t=56292
ceqk 	能够	c=1 d=9.63932e-10 t=56292
cf 	对	c=183 d=3.94816 t=56292
cfdm 	对面	c=2 d=0.553841 t=56292
cff 	圣	c=2 d=0.00240549 t=56292
cfgf 	对于	c=1 d=0.000273284 t=56292
cfjv 	对照	c=4 d=2.47148e-17 t=56292
cfkk 	对口	c=1 d=0.0528657 t=56292
cfqh 	对外	c=2 d=0.0376634 t=56292
cfqj 	对象	c=19 d=0.973849 t=56292
cfru 	对接	c=18 d=0.107712 t=56292
cfud 	对头	c=1 d=2.49933e-12 t=56292
cfuw 	对准	c=1 d=0.298197 t=56292
cfxx 	对比	c=7 d=2.15102 t=56292
cfyi 	对应	c=21 d=0.734584 t=56292
cfyj 	对齐	c=3 d=0.807632 t=56292
cfyt 	对话	c=13 d=0.826496 t=56292
cfyy 	对方	c=3 d=0.137825 t=56292
ck 	台	c=9 d=1.35405 t=56292
ckaa 	台式	c=3 d=0.356345 t=56292
ckq 	驶	c=1 d=0.138761 t=56292
cl 	劝	c=1 d=1.03685e-14 t=56292
cmim 	观测	c=1 d=1.62385e-27 t=56292
cmpw 	观察	c=1 d=5.92462e-19 t=56292
cn 	马	c=6 d=0.965605 t=56292
cpmt 	驼峰	c=1 d=0.151829 t=56292
cpx 	驼	c=1 d=0.0871609 t=56292
cqnh 	鸡蛋	c=5 d=0.311923 t=56292
cqyt 	允许	c=5 d=1.36303 t=56292
cs 	骠	c=1 d=0.900325 t=56292
ctwg 	骄傲	c=1 d=2.76265e-14 t=56292
cu 	骈	c=1 d=0.0086517 t=56292
cwep 	难受	c=4 d=0.514274 t=56292
cwfp 	难过	c=1 d=7.55245e-22 t=56292
cwnh 	验收	c=2 d=0.0488012 t=56292
cwrh 	难看	c=1 d=1.9188e-20 t=56292
cwut 	难道	c=1 d=0.165299 t=56292
cwy 	难	c=13 d=0.452658 t=56292
cwyg 	验证	c=5 d=1.88899 t=56292
cyi 	叉	c=2 d=1.55779e-09 t=56292
d 	在	c=495 d=18.3197 t=56292
da 	左	c=33 d=2.12218 t=56292
dc 	友	c=1 d=0.110251 t=56292
dcg 	码	c=9 d=1.42296 t=56292
dcov 	码数	c=1 d=0.0356146 t=56292
dcud 	友善	c=1 d=2.14083e-14 t=56292
dcud 	码头	c=2 d=6.96394e-14 t=56292
dd 	大	c=159 d=3.26853 t=56292
ddd 	磊	c=1 d=0.00256704 t=56292
dddd 	大	c=2 d=5.53976e-26 t=56292
ddih 	大小	c=4 d=1.2467 t=56292
ddoo 	大火	c=2 d=0.22091 t=56292
ddpd 	厉害	c=7 d=0.67336 t=56292
ddpe 	大家	c=12 d=1.69311 t=56292
ddsv 	大概	c=13 d=1.31966 t=56292
ddtf 	大街	c=1 d=0.66365 t=56292
ddu 	套	c=14 d=0.514289 t=56292
dduy 	大门	c=4 d=0.799174 t=56292
ddve 	大姐	c=2 d=0.739456 t=56292
ddwf 	大佬	c=1 d=0.00918669 t=56292
ddws 	大体	c=1 d=0.149569 t=56292
ddwt 	大作	c=1 d=0.00527382 t=56292
detd 	胡乱	c=1 d=0.818731 t=56292
df 	夺	c=3 d=4.43092e-13 t=56292
dfn 	夸	c=3 d=1.95717e-10 t=56292
dfxp 	压缩	c=7 d=0.923116 t=56292
dfxt 	夸张	c=1 d=0.000466618 t=56292
dfyt 	奔放	c=1 d=0.687289 t=56292
dg 	三	c=42 d=2.74196 t=56292
dgep 	感受	c=2 d=4.83599e-05 t=56292
dgh 	古	c=1 d=6.87523e-05 t=56292
dgip 	感觉	c=49 d=1.35969 t=56292
dgiv 	感染	c=1 d=1.23259e-19 t=56292
dgjq 	硬	c=1 d=0.56836 t=56292
dgk 	咸	c=2 d=0.802519 t=56292
dgkn 	感	c=1 d=0.251579 t=56292
dgpw 	研究	c=4 d=1.5765e-22 t=56292
dgte 	硬盘	c=2 d=0.298391 t=56292
dgtg 	石	c=2 d=1.76659e-07 t=56292
dgwr 	硬件	c=1 d=6.68931e-06 t=56292
dgxw 	三维	c=1 d=1.48131e-05 t=56292
dgyn 	厨房	c=2 d=5.21854e-17 t=56292
dgyt 	感谢	c=3 d=0.318627 t=56292
dh 	丰	c=4 d=0.99005 t=56292
dhb 	存	c=12 d=2.04099 t=56292
dhc 	破	c=1 d=1.9623e-19 t=56292
dhd 	慧	c=1 d=0.00932553 t=56292
dhdh 	存在	c=24 d=0.81593 t=56292
dhfg 	破坏	c=1 d=0.197899 t=56292
dhgd 	夏天	c=3 d=9.98997e-15 t=56292
dhit 	存活	c=10 d=0.992644 t=56292
dhpg 	丰富	c=2 d=0.185404 t=56292
dhrk 	破损	c=10 d=0.764398 t=56292
dhsi 	存档	c=34 d=2.85172 t=56292
dhww 	慧谷	c=1 d=0.416862 t=56292
dhwy 	存储	c=2 d=1.23515e-14 t=56292
dijf 	耗时	c=1 d=1.61273e-05 t=56292
diny 	耗尽	c=1 d=0.618783 t=56292
ditn 	耗	c=1 d=5.59785e-28 t=56292
dj 	百	c=14 d=0.51897 t=56292
djbb 	辈子	c=1 d=1.13821e-23 t=56292
djd 	非	c=29 d=1.966 t=56292
djgk 	碍事	c=1 d=0.0168231 t=56292
djip 	非常	c=2 d=0.891366 t=56292
djya 	百度	c=2 d=0.0510474 t=56292
dk 	右	c=47 d=2.54267 t=56292
dl 	历	c=1 d=0.367879 t=56292
dljf 	历时	c=1 d=1.0299e-23 t=56292
dlkq 	历史	c=2 d=0.0112221 t=56292
dlqk 	奋勉	c=1 d=0.000308127 t=56292
dm 	面	c=34 d=1.63677 t=56292
dmcf 	面对	c=3 d=0.48224 t=56292
dmdm 	页面	c=2 d=0.113042 t=56292
